Data Cadastro:;07/03/2018
Nome:;Teste
Data Nascimento:;01/01/0001
Sexo:;Masculino
Publico:;Crianca com Deficiencia
Vidas:;5
Justificativa Público:;Teste
Fase Alfabetização Matemática:;Não Desenvolvido
Justificativa Fase Alfabetização Matemática:;Teste
# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Pontuacao Geral da Tela;Tempo Total (min)
1;07/03/2018;15:01:54;Classificacao;1;1;0;0
2;07/03/2018;15:02:07;Classificacao;3;1;74;0
3;07/03/2018;15:07:10;Classificacao;1;1;0;0
4;07/03/2018;15:07:14;Classificacao;2;1;9;0
