Data Cadastro:;24/10/2018;;;;;;
Nome:;teste;;;;;;
Data Nascimento:;23/10/2018;;;;;;
Sexo:;Masculino;;;;;;
Publico:;Crianca;;;;;;
Vidas:;1;;;;;;
Justificativa Público:;t;;;;;;
Fase Alfabetização Matemática:;Não Desenvolvido;;;;;;
Justificativa Fase Alfabetização Matemática:;t;;;;;;
# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Pontuacao Geral da Tela;Tempo Total (min)
1;24/10/2018;21:15:51;Classificacao;1;1;53;0
2;24/10/2018;21:17:31;Classificacao;1;1;0;0
3;24/10/2018;21:35:14;Classificacao;1;1;5;0
4;24/10/2018;21:36:13;Classificacao;1;1;4;0
<<<<<<< HEAD
5;09/11/2018;12:54:51;Classificacao;1;1;14;0
6;28/11/2018;18:05:51;Classificacao;1;1;6;0
7;28/11/2018;18:10:06;Classificacao;1;1;16;0
8;28/11/2018;18:18:27;Classificacao;1;1;23;0
9;28/11/2018;18:42:32;Ordenacao;1;1;41;0
10;28/11/2018;18:52:24;Ordenacao;1;1;47;0
11;28/11/2018;19:03:25;Classificacao;1;1;0;0
12;28/11/2018;19:14:09;Classificacao;1;1;14;0
13;28/11/2018;19:23:41;Classificacao;1;1;13;0
14;28/11/2018;19:26:19;Classificacao;1;1;9;0
=======
>>>>>>> parent of 407fb79... game over 09/11
